epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0508,1.28642,3.55747,1.56173,0.4105,0.29827,0.17194,0.1069,1.43124,2.66738,1.91623,0.00332428,0.00332428,0.00332428
2,180.005,1.30918,2.76578,1.51985,0.49964,0.14661,0.122,0.07018,1.7806,3.24576,2.33451,0.00664443,0.00664443,0.00664443
3,264.398,1.39315,2.54117,1.56826,0.50574,0.31567,0.21301,0.11367,1.6645,3.09453,2.14018,0.00995138,0.00995138,0.00995138
4,347.933,1.40106,2.28307,1.58162,0.24906,0.43919,0.25935,0.15347,1.57022,2.29329,1.95261,0.0099406,0.0099406,0.0099406
5,431.29,1.38944,2.08499,1.56237,0.37655,0.42476,0.29539,0.18265,1.59999,2.41539,2.01149,0.0099208,0.0099208,0.0099208
6,514.824,1.37294,1.95675,1.53982,0.26233,0.47592,0.32166,0.18858,1.50255,2.17892,1.91686,0.009901,0.009901,0.009901
7,598.127,1.32175,1.86394,1.50391,0.31501,0.48219,0.33223,0.21046,1.50248,1.99552,1.85184,0.0098812,0.0098812,0.0098812
8,681.922,1.30482,1.8103,1.48999,0.33705,0.51907,0.36683,0.22705,1.45591,1.83944,1.82677,0.0098614,0.0098614,0.0098614
9,765.573,1.30489,1.78655,1.48856,0.31416,0.4969,0.34617,0.21285,1.47091,1.94695,1.86328,0.0098416,0.0098416,0.0098416
10,848.996,1.27618,1.73579,1.46522,0.39108,0.51929,0.40632,0.25203,1.41078,1.72875,1.7638,0.0098218,0.0098218,0.0098218
11,932.635,1.27166,1.69466,1.45888,0.34539,0.4977,0.40585,0.25075,1.48304,1.77719,1.82779,0.009802,0.009802,0.009802
12,1016.12,1.25182,1.65773,1.44842,0.38242,0.52493,0.41166,0.25275,1.42598,1.73173,1.75706,0.0097822,0.0097822,0.0097822
13,1099.61,1.25285,1.63468,1.44634,0.35106,0.4972,0.40566,0.26641,1.36935,1.80746,1.71443,0.0097624,0.0097624,0.0097624
14,1183.14,1.23847,1.62191,1.43889,0.36287,0.53971,0.41697,0.27323,1.37724,1.69108,1.73096,0.0097426,0.0097426,0.0097426
15,1266.47,1.22207,1.61623,1.42748,0.39574,0.58611,0.46418,0.29906,1.36061,1.61304,1.72273,0.0097228,0.0097228,0.0097228
16,1350.18,1.22425,1.59442,1.43228,0.43542,0.52038,0.4526,0.29283,1.34297,1.70197,1.71572,0.009703,0.009703,0.009703
17,1433.7,1.21501,1.57909,1.42264,0.38196,0.51329,0.43518,0.28454,1.3365,1.69894,1.69143,0.0096832,0.0096832,0.0096832
18,1517.07,1.21439,1.56942,1.41416,0.4118,0.56789,0.47185,0.31384,1.31672,1.56346,1.68624,0.0096634,0.0096634,0.0096634
19,1600.54,1.20184,1.53184,1.40597,0.41308,0.55188,0.45709,0.29675,1.35782,1.66076,1.72906,0.0096436,0.0096436,0.0096436
20,1683.91,1.20408,1.53545,1.40668,0.42701,0.5497,0.47188,0.312,1.32824,1.63036,1.68863,0.0096238,0.0096238,0.0096238
21,1767.54,1.19228,1.53623,1.40657,0.34435,0.50201,0.37985,0.24455,1.3952,1.82011,1.74598,0.009604,0.009604,0.009604
22,1850.92,1.1889,1.51107,1.39472,0.47432,0.54251,0.49496,0.32472,1.32859,1.57173,1.65802,0.0095842,0.0095842,0.0095842
23,1934.23,1.18318,1.5029,1.38941,0.53486,0.53592,0.50536,0.33538,1.32635,1.52218,1.68201,0.0095644,0.0095644,0.0095644
24,2017.66,1.18227,1.49286,1.39069,0.49903,0.5464,0.50627,0.32775,1.35852,1.53395,1.71551,0.0095446,0.0095446,0.0095446
25,2101.68,1.18073,1.48713,1.38914,0.47585,0.51793,0.47879,0.32046,1.29285,1.56771,1.64071,0.0095248,0.0095248,0.0095248
26,2185.7,1.16143,1.45982,1.37843,0.47184,0.53683,0.49101,0.324,1.31918,1.55392,1.67259,0.009505,0.009505,0.009505
27,2269.28,1.17718,1.46814,1.39138,0.48398,0.53959,0.50457,0.33009,1.29032,1.56919,1.64487,0.0094852,0.0094852,0.0094852
28,2353.15,1.16417,1.46057,1.37889,0.45653,0.55847,0.50145,0.3319,1.29444,1.52296,1.64262,0.0094654,0.0094654,0.0094654
29,2436.85,1.15756,1.43912,1.37893,0.45091,0.58522,0.54818,0.3554,1.36974,1.49795,1.72939,0.0094456,0.0094456,0.0094456
30,2520.56,1.1605,1.43446,1.37762,0.53465,0.54791,0.54903,0.36528,1.29662,1.40591,1.65038,0.0094258,0.0094258,0.0094258
31,2603.99,1.16238,1.43767,1.36946,0.50266,0.52725,0.52919,0.34815,1.30111,1.48433,1.65672,0.009406,0.009406,0.009406
32,2687.49,1.14438,1.41062,1.35783,0.50582,0.54903,0.54278,0.35347,1.27248,1.46195,1.62396,0.0093862,0.0093862,0.0093862
33,2770.96,1.14301,1.42374,1.36411,0.5373,0.57734,0.56589,0.37239,1.28171,1.39089,1.6305,0.0093664,0.0093664,0.0093664
34,2854.53,1.14972,1.40263,1.36314,0.53518,0.5671,0.56255,0.36157,1.30702,1.42242,1.65941,0.0093466,0.0093466,0.0093466
35,2937.78,1.14605,1.39396,1.3676,0.5501,0.55796,0.56879,0.37712,1.3016,1.39698,1.65546,0.0093268,0.0093268,0.0093268
36,3021.54,1.13647,1.37747,1.35875,0.51724,0.62254,0.56597,0.38505,1.25418,1.40263,1.62517,0.009307,0.009307,0.009307
37,3104.97,1.14289,1.3922,1.36701,0.55673,0.57527,0.55793,0.36833,1.26597,1.42032,1.61947,0.0092872,0.0092872,0.0092872
38,3188.62,1.13476,1.35781,1.35957,0.58358,0.5882,0.59756,0.3982,1.26871,1.35472,1.62307,0.0092674,0.0092674,0.0092674
39,3272.26,1.14185,1.37671,1.36159,0.57767,0.56554,0.58874,0.3902,1.27411,1.38897,1.62785,0.0092476,0.0092476,0.0092476
40,3355.72,1.13653,1.37251,1.35896,0.5783,0.59692,0.61131,0.40122,1.28458,1.34902,1.61926,0.0092278,0.0092278,0.0092278
41,3439.14,1.13228,1.36348,1.355,0.57969,0.59309,0.57091,0.38195,1.29086,1.37534,1.65951,0.009208,0.009208,0.009208
42,3522.42,1.13831,1.36302,1.35401,0.62333,0.58515,0.60776,0.40679,1.25058,1.36116,1.60221,0.0091882,0.0091882,0.0091882
43,3605.86,1.1368,1.33987,1.35548,0.51805,0.58853,0.56685,0.37781,1.2768,1.41158,1.65281,0.0091684,0.0091684,0.0091684
44,3689.28,1.13241,1.33977,1.35447,0.59678,0.61576,0.62196,0.41425,1.29261,1.28966,1.63819,0.0091486,0.0091486,0.0091486
45,3772.61,1.12979,1.33025,1.34851,0.53537,0.63777,0.61618,0.41399,1.23061,1.34472,1.59416,0.0091288,0.0091288,0.0091288
46,3855.85,1.11957,1.32491,1.34071,0.60038,0.59402,0.62264,0.40595,1.28644,1.32056,1.60925,0.009109,0.009109,0.009109
47,3939.6,1.12483,1.32809,1.34122,0.60432,0.61417,0.62889,0.42044,1.25662,1.29618,1.59415,0.0090892,0.0090892,0.0090892
48,4023.38,1.11978,1.34106,1.34173,0.60153,0.58468,0.62543,0.42448,1.24666,1.28441,1.59308,0.0090694,0.0090694,0.0090694
49,4107.15,1.1171,1.30531,1.33929,0.59987,0.60716,0.63396,0.42899,1.24231,1.30486,1.59422,0.0090496,0.0090496,0.0090496
50,4190.57,1.12197,1.32742,1.35443,0.56879,0.59735,0.60814,0.40899,1.23982,1.34773,1.58968,0.0090298,0.0090298,0.0090298
51,4274.41,1.12745,1.31252,1.34712,0.57742,0.6409,0.64532,0.43861,1.22348,1.25081,1.57575,0.00901,0.00901,0.00901
52,4357.91,1.11075,1.29532,1.3347,0.59706,0.60678,0.63952,0.42156,1.26871,1.27268,1.60596,0.0089902,0.0089902,0.0089902
53,4441.59,1.10664,1.2937,1.33307,0.59574,0.61115,0.63308,0.42745,1.25445,1.27319,1.59991,0.0089704,0.0089704,0.0089704
54,4524.94,1.11079,1.28776,1.33651,0.59257,0.60301,0.62469,0.42151,1.24879,1.28615,1.59213,0.0089506,0.0089506,0.0089506
55,4609.09,1.10391,1.27836,1.33354,0.59625,0.65097,0.6526,0.4414,1.24873,1.26127,1.59865,0.0089308,0.0089308,0.0089308
56,4693.19,1.10506,1.28132,1.33001,0.63977,0.59222,0.64594,0.44127,1.23474,1.23471,1.58555,0.008911,0.008911,0.008911
57,4776.72,1.09454,1.27928,1.32381,0.64781,0.56527,0.63085,0.43157,1.222,1.29318,1.56183,0.0088912,0.0088912,0.0088912
58,4859.99,1.09923,1.26999,1.3314,0.60522,0.64184,0.66329,0.4483,1.23033,1.24929,1.57772,0.0088714,0.0088714,0.0088714
59,4943.24,1.10207,1.26693,1.33369,0.65144,0.58758,0.66126,0.45436,1.22585,1.22879,1.58457,0.0088516,0.0088516,0.0088516
60,5026.66,1.10687,1.27785,1.33527,0.65129,0.60347,0.65805,0.44186,1.24033,1.22542,1.60535,0.0088318,0.0088318,0.0088318
61,5110,1.08652,1.2475,1.32419,0.5956,0.60254,0.64831,0.43915,1.21887,1.24837,1.579,0.008812,0.008812,0.008812
62,5193.99,1.09592,1.25008,1.32746,0.66681,0.62275,0.66476,0.45639,1.21231,1.23208,1.57664,0.0087922,0.0087922,0.0087922
63,5277.38,1.08905,1.24507,1.3216,0.60415,0.6234,0.65963,0.44998,1.21837,1.2418,1.55211,0.0087724,0.0087724,0.0087724
64,5360.88,1.10139,1.25307,1.33104,0.60122,0.67669,0.67318,0.46031,1.22418,1.20989,1.56891,0.0087526,0.0087526,0.0087526
65,5444.46,1.08917,1.24547,1.31834,0.64374,0.64874,0.68376,0.47022,1.20845,1.20337,1.55713,0.0087328,0.0087328,0.0087328
66,5527.57,1.09337,1.24692,1.32979,0.69488,0.60244,0.68048,0.46307,1.2176,1.18325,1.57061,0.008713,0.008713,0.008713
67,5611.27,1.09365,1.23166,1.32812,0.65152,0.61623,0.66359,0.45428,1.21792,1.21714,1.57487,0.0086932,0.0086932,0.0086932
68,5694.65,1.08874,1.24902,1.31602,0.63912,0.60785,0.66528,0.45855,1.20066,1.19663,1.55982,0.0086734,0.0086734,0.0086734
69,5778.54,1.08472,1.23011,1.31279,0.6325,0.64728,0.67724,0.46327,1.21246,1.2012,1.56395,0.0086536,0.0086536,0.0086536
70,5862.12,1.08614,1.21434,1.32425,0.63826,0.66539,0.68062,0.46902,1.23175,1.19151,1.57046,0.0086338,0.0086338,0.0086338
71,5945.36,1.08747,1.22205,1.32114,0.6932,0.61806,0.68989,0.46821,1.23353,1.19097,1.57419,0.008614,0.008614,0.008614
72,6028.98,1.082,1.21577,1.32279,0.67775,0.61583,0.69199,0.47824,1.21068,1.1646,1.55842,0.0085942,0.0085942,0.0085942
73,6112.49,1.09047,1.22375,1.31959,0.69647,0.61645,0.69027,0.47348,1.20919,1.17411,1.55762,0.0085744,0.0085744,0.0085744
74,6196.21,1.0843,1.22174,1.31571,0.65288,0.61542,0.67556,0.46766,1.22364,1.17429,1.55581,0.0085546,0.0085546,0.0085546
75,6279.56,1.07384,1.2152,1.31223,0.63949,0.62531,0.67934,0.46328,1.23455,1.1848,1.57251,0.0085348,0.0085348,0.0085348
76,6362.92,1.06984,1.20032,1.30888,0.67265,0.64957,0.6935,0.47422,1.22131,1.16355,1.56531,0.008515,0.008515,0.008515
77,6446.92,1.08264,1.20425,1.31508,0.6887,0.63015,0.69973,0.47648,1.21104,1.17064,1.55653,0.0084952,0.0084952,0.0084952
78,6530.22,1.07907,1.19757,1.31383,0.68733,0.66191,0.71063,0.48447,1.21551,1.15622,1.55986,0.0084754,0.0084754,0.0084754
79,6613.78,1.07735,1.18763,1.31375,0.63551,0.69509,0.71234,0.48096,1.22209,1.13585,1.56465,0.0084556,0.0084556,0.0084556
80,6697.48,1.07491,1.19753,1.31057,0.69381,0.67044,0.7133,0.48634,1.22639,1.15597,1.57633,0.0084358,0.0084358,0.0084358
81,6781,1.07706,1.18574,1.31374,0.6782,0.65723,0.70621,0.48575,1.21714,1.14355,1.57061,0.008416,0.008416,0.008416
82,6864.38,1.07287,1.1979,1.32213,0.64337,0.65954,0.69732,0.47909,1.211,1.15117,1.56823,0.0083962,0.0083962,0.0083962
83,6948.2,1.06684,1.1668,1.31112,0.66633,0.64931,0.70913,0.48601,1.19918,1.13972,1.55905,0.0083764,0.0083764,0.0083764
84,7031.82,1.07035,1.16686,1.30709,0.661,0.68836,0.71288,0.48863,1.19546,1.11482,1.54769,0.0083566,0.0083566,0.0083566
